date, high, low, open, close, volume, quoteVolume, weightedAverage
1440691200, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440705600, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440720000, 1.1, 1.06000001, 1.1, 1.06000001, 1.10203059, 1.00568924, 1.09579634
1440734400, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440748800, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440763200, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440777600, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440792000, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440806400, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440820800, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440835200, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440849600, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440864000, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440878400, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440892800, 1.06000001, 1.06000001, 1.06000001, 1.06000001, 0, 0, 1.06000001
1440907200, 1.25, 1.23, 1.23, 1.25, 404.53044565, 323.86543517, 1.24906952
1440921600, 1.25, 1.25, 1.25, 1.25, 1836.54535595, 1469.23628476, 1.25
1440936000, 1.25, 1.25, 1.25, 1.25, 0, 0, 1.25
1440950400, 1.27, 1.27, 1.27, 1.27, 12.6975749, 9.99809048, 1.27
1440964800, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440979200, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440993600, 1.2995, 1.28, 1.28, 1.2995, 212.95625817, 165.43835399, 1.28722423
1441008000, 1.3, 1.3, 1.3, 1.3, 127.9376993, 98.41361485, 1.3
1441022400, 1.3, 1.3, 1.3, 1.3, 0, 0, 1.3
1441036800, 1.3, 1.3, 1.3, 1.3, 0, 0, 1.3
1441051200, 1.3, 1.3, 1.3, 1.3, 0, 0, 1.3
1441065600, 1.18000001, 1.18000001, 1.18000001, 1.18000001, 1.18000001, 1, 1.18000001
1441080000, 1.33999999, 1.18000001, 1.33999999, 1.33999997, 0.14998517, 0.11787222, 1.27243873
1441094400, 1.33999997, 1.33999997, 1.33999997, 1.33999997, 0, 0, 1.33999997
1441108800, 1.35269001, 1.33999997, 1.33999997, 1.35269001, 228.21239347, 169.99808061, 1.342441
1441123200, 1.35269001, 1.35269001, 1.35269001, 1.35269001, 0, 0, 1.35269001
1441137600, 1.39099999, 1.25000044, 1.39099999, 1.2500005, 0.00175983, 0.00133263, 1.32056953
1441152000, 1.2500005, 1.2500005, 1.2500005, 1.2500005, 0, 0, 1.2500005
1441166400, 1.26000045, 1.26000045, 1.26000045, 1.26000045, 3.78000135, 3, 1.26000045
1441180800, 1.26000045, 1.26000045, 1.26000045, 1.26000045, 0, 0, 1.26000045
1441195200, 1.26000045, 1.26000045, 1.26000045, 1.26000045, 0, 0, 1.26000045
1441209600, 1.26000045, 1.26000045, 1.26000045, 1.26000045, 0, 0, 1.26000045
1441224000, 1.26000132, 1.26000132, 1.26000132, 1.26000132, 45.31493947, 35.9642, 1.26000132
1441238400, 1.26000001, 1.2194, 1.26000001, 1.2194, 59.91937104, 47.86207691, 1.25191748
1441252800, 1.2194, 1.2194, 1.2194, 1.2194, 0, 0, 1.2194
1441267200, 1.2194, 1.2194, 1.2194, 1.2194, 0, 0, 1.2194
1441281600, 1.37339966, 1.21940001, 1.37339966, 1.21940001, 69.27259777, 56.80445717, 1.21949229
1441296000, 1.37339657, 1.21940001, 1.21940001, 1.21940013, 12.74189174, 10.4462267, 1.21976021
1441310400, 1.37, 1.21940041, 1.21940043, 1.37, 99.05174933, 76.76968276, 1.29024565
1441324800, 1.21940001, 1.21940001, 1.21940001, 1.21940001, 9.44059487, 7.742, 1.21940001
1441339200, 1.21940001, 1.21940001, 1.21940001, 1.21940001, 0, 0, 1.21940001
1441353600, 1.21940001, 1.21940001, 1.21940001, 1.21940001, 0, 0, 1.21940001
1441368000, 1.2194, 1.2194, 1.2194, 1.2194, 9.12818452, 7.4858, 1.2194
1441382400, 1.2194, 1.2194, 1.2194, 1.2194, 0, 0, 1.2194
1441396800, 1.21939998, 1.21939998, 1.21939998, 1.21939998, 0.1931356, 0.15838577, 1.21939998
1441411200, 1.37336823, 1.37336823, 1.37336823, 1.37336823, 7.80994644, 5.68670971, 1.37336823
1441425600, 1.37336823, 1.37336823, 1.37336823, 1.37336823, 0, 0, 1.37336823
1441440000, 1.26, 1.25999999, 1.25999999, 1.26, 41.4936894, 32.93149977, 1.25999999
1441454400, 1.26, 1.26, 1.26, 1.26, 8.86359409, 7.03459849, 1.26
1441468800, 1.26, 1.26, 1.26, 1.26, 0, 0, 1.26
1441483200, 1.37336823, 1.16100001, 1.16100001, 1.37336823, 0.0847485, 0.06773902, 1.25110318
1441497600, 1.19, 1.16100001, 1.16100001, 1.19, 22.48847556, 18.897988, 1.18999311
1441512000, 1.16100001, 1.16100001, 1.16100001, 1.16100001, 4.64400004, 4, 1.16100001
1441526400, 1.16100001, 1.16100001, 1.16100001, 1.16100001, 0, 0, 1.16100001
1441540800, 1.16100001, 1.16100001, 1.16100001, 1.16100001, 1.15978095, 0.99895, 1.16100001
1441555200, 1.16100001, 1.16100001, 1.16100001, 1.16100001, 0, 0, 1.16100001
1441569600, 1.21000001, 1.21, 1.21000001, 1.21, 19.25612159, 15.91415, 1.21
1441584000, 1.16200001, 1.16200001, 1.16200001, 1.16200001, 0.73202652, 0.62997119, 1.16200001
1441598400, 1.16200001, 1.16200001, 1.16200001, 1.16200001, 0, 0, 1.16200001
1441612800, 1.16200001, 1.16200001, 1.16200001, 1.16200001, 0, 0, 1.16200001
1441627200, 1.16200001, 1.16200001, 1.16200001, 1.16200001, 0, 0, 1.16200001
1441641600, 1.34999999, 1.34999986, 1.34999998, 1.34999986, 356.70909141, 264.22898374, 1.34999986
1441656000, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 75.24324702, 55.73574473, 1.34999985
1441670400, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441684800, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441699200, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441713600, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441728000, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441742400, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441756800, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441771200, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441785600, 1.34999985, 1.34999985, 1.34999985, 1.34999985, 0, 0, 1.34999985
1441800000, 1.29999946, 1.29999945, 1.29999945, 1.29999946, 23.94201004, 18.41693846, 1.29999945
1441814400, 1.29999946, 1.29999946, 1.29999946, 1.29999946, 0, 0, 1.29999946
1441828800, 1.29999946, 1.29999946, 1.29999946, 1.29999946, 0, 0, 1.29999946
1441843200, 1.29999946, 1.29999946, 1.29999946, 1.29999946, 0, 0, 1.29999946
1441857600, 1.299999, 1.20000239, 1.20000307, 1.20000239, 112.94221819, 94.11550598, 1.20003836
1441872000, 1.20000239, 1.20000238, 1.20000239, 1.20000238, 8.8576621, 7.38137044, 1.20000238
1441886400, 1.20000238, 1.20000238, 1.20000238, 1.20000238, 0, 0, 1.20000238
1441900800, 1.20000238, 1.16, 1.20000238, 1.16, 2642.00422116, 2247.08330314, 1.17574823
1441915200, 1.16, 1.16, 1.16, 1.16, 0, 0, 1.16
1441929600, 1.28199965, 1.16, 1.28199965, 1.16, 0.10959587, 0.08975464, 1.22106088
1441944000, 1.16000001, 1.15, 1.16000001, 1.15, 300.95611935, 260.80699944, 1.15394188
1441958400, 1.2819991, 1, 1.2819991, 1, 682.74861846, 629.76845379, 1.08412641
1441972800, 1, 1, 1, 1, 0, 0, 1
1441987200, 1.02999999, 0.83000002, 1.02999999, 0.83000003, 1.66443291, 2.004766, 0.830238
1442001600, 0.99989886, 0.99989885, 0.99989885, 0.99989886, 2.45182409, 2.4520721, 0.99989885
1442016000, 0.99, 0.98999999, 0.98999999, 0.99, 18.04148346, 18.22372068, 0.98999999
1442030400, 0.99, 0.87, 0.95, 0.99, 51.97976384, 55.34650954, 0.93916968
1442044800, 1.02999969, 1.01, 1.01, 1.02999969, 75.23999225, 74, 1.01675665
1442059200, 1.28199911, 0.99000019, 1.10799999, 0.99000019, 106.8047832, 96.92177692, 1.10196889
1442073600, 1.28199911, 0.99000017, 1.28199911, 0.99000017, 0.029582, 0.02603716, 1.13614576
1442088000, 1.28199877, 1.00000037, 1.28199877, 1.27999999, 0.04254182, 0.03715516, 1.14497745
1442102400, 1.27999999, 1.27999999, 1.27999999, 1.27999999, 0, 0, 1.27999999
1442116800, 1.27999999, 1.27999999, 1.27999999, 1.27999999, 0, 0, 1.27999999
1442131200, 1.0000017, 1.00000018, 1.0000017, 1.00000018, 95.26130901, 95.26115154, 1.00000165
1442145600, 0.87, 0.87, 0.87, 0.87, 0.00089139, 0.00102459, 0.87
1442160000, 1.18998875, 1.18998873, 1.18998873, 1.18998875, 0.09221164, 0.07748951, 1.18998873
1442174400, 1.18998875, 1.18998875, 1.18998875, 1.18998875, 0, 0, 1.18998875
1442188800, 1.18998875, 1.18998875, 1.18998875, 1.18998875, 0, 0, 1.18998875
1442203200, 1.18998875, 1.18998875, 1.18998875, 1.18998875, 0, 0, 1.18998875
1442217600, 1.18998875, 1.18998875, 1.18998875, 1.18998875, 0, 0, 1.18998875
1442232000, 1.18998875, 1.18998875, 1.18998875, 1.18998875, 0, 0, 1.18998875
1442246400, 0.87100002, 0.87100002, 0.87100002, 0.87100002, 0.44598807, 0.51204141, 0.87100002
1442260800, 0.87100002, 0.87100002, 0.87100002, 0.87100002, 0, 0, 0.87100002
1442275200, 0.87100002, 0.87100002, 0.87100002, 0.87100002, 0, 0, 0.87100002
1442289600, 0.87100002, 0.87100002, 0.87100002, 0.87100002, 0, 0, 0.87100002
1442304000, 1.02899704, 0.87100002, 1.02899704, 0.87100002, 0.0002286, 0.00024062, 0.95007732
1442318400, 1.02899698, 0.87100002, 1.02899698, 0.87100002, 0.20445252, 0.2151241, 0.9503934
1442332800, 1.01999973, 0.87100035, 1.01999973, 0.87100035, 0.9026729, 1.01650839, 0.88801323
1442347200, 0.88850004, 0.88850004, 0.88850004, 0.88850004, 0.10413514, 0.11720331, 0.88850004
1442361600, 1.01999874, 1.01999874, 1.01999874, 1.01999874, 0.0003216, 0.0003153, 1.01999874
